ID,Smiles,N Params,Solvent
1231,N1(/C=C/C2=CC=CC=C2)CCCC1[Si](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5,11.77,ch2cl2
1361,CC(C=C1)=CC(C)=C1P(C2=C(C)C=C(C)C=C2)C3=CC=C(C)C=C3C,14.88,ch2cl2
1359,CC(C)(C)P(C(C)(C)C)C1=CC=CC=C1,12.4,ch2cl2
1104,C1CCOC1,-3.5,ch2cl2
1313,CC1=CN=CC=C1,10.9,ch2cl2
1444,[H]C(C1=CC=C(C#N)C=C1)=[N+]=[N-],7.66,ch2cl2
1192,CC(C=C1)=CC=C1S(N(CC2=CC=CC=C2)C#CC3=CC=CC=C3)(=O)=O,3.85,ch2cl2
1172,[H]/C([H])=N/N1CCCC1,17.9,ch2cl2
1443,[H]C(C1=CC=C([N+]([O-])=O)C=C1)=[N+]=[N-],7.17,ch2cl2
1664,[N-]=[N+]=C1C=CC=C1,4.84,ch2cl2
1555,CCCCSCCCC,11.86,ch2cl2
1554,C[Se]C,12.6,ch2cl2
1629,O=C1C2=CC=CC=C2NC1=[N+]=[N-],3.16,ch2cl2
1552,CSC,12.32,ch2cl2
1585,O=C(C1=CC=CC=C1C2)C2=[N+]=[N-],5.61,ch2cl2
1587,O=C(C1=CC=CC=C1CC2)C2=[N+]=[N-],3.51,ch2cl2
1591,O=C1C2=CC=CC=C2SC1=[N+]=[N-],0.4,ch2cl2
1589,O=C(C1=CC=CC=C1C2=O)C2=[N+]=[N-],0.16,ch2cl2
1590,O=C(C(CCC1)=[N+]=[N-])C2=C1C=CC=C2,2.72,ch2cl2
1586,O=C(CCCC1)C1=[N+]=[N-],3.44,ch2cl2
1564,S1CCCCC1,11.94,ch2cl2
1562,C1SCCC1,13.1,ch2cl2
1670,FC1(F)CN2C(SC3=C2C=CC=C3)=N[C@H]1C4=CC=CC=C4,10.83,ch2cl2
1667,CC1(C)N(/C=C/C2=CC=CC=C2)C(C)(C)C(SCC)=N1,8.13,ch2cl2
1632,CC1(C)N(/C=C/C2=CC=CC=C2)C(C)(C)C(SCC#N)=N1,7.06,ch2cl2
1668,CC1(C)N(/C=C/C2=CC=CC=C2)C(C)(C)C(SCC3=CC=CC=C3)=N1,7.99,ch2cl2
1676,CC1=NC(C)=CC=C1,9.87,ch2cl2
1678,CC1=NC(C)=CC(C)=C1,9.34,ch2cl2
1674,CC1=NC=CC=C1,10.52,ch2cl2
1697,O=C(C(C(OC)=O)=[N+]=[N-])OC,-1.24,ch2cl2
1696,[H]C(C(OC)=O)=[N+]=[N-],4.68,ch2cl2
1711,O=S([N-]C1=CC=NC=C1)(C2=CC=C(OC)C=C2)=O,19.63,ch2cl2
1710,O=S([N-]C1=CC=NC=C1)(C(F)(F)F)=O,17.88,ch2cl2
